"subjects"	"S"	"flankers"	"R"	"rt"
"229"	"1"	"right"	"incongruent"	"right"	0.640098879446738
"2005"	"1"	"right"	"incongruent"	"right"	2.53223440960979
"4897"	"1"	"left"	"congruent"	"left"	0.510970446557579
"5341"	"1"	"right"	"congruent"	"right"	0.376156318780189
"3913"	"1"	"left"	"incongruent"	"left"	0.557055974575186
"2341"	"1"	"right"	"incongruent"	"left"	0.224309948310251
"505"	"1"	"left"	"incongruent"	"left"	0.293510408008515
"2149"	"1"	"right"	"incongruent"	"right"	0.327705426956766
"4705"	"1"	"left"	"congruent"	"left"	0.380236132289059
"1201"	"1"	"left"	"congruent"	"left"	0.27843325749271
"4777"	"1"	"left"	"incongruent"	"left"	1.02722606427193
"2869"	"1"	"right"	"incongruent"	"right"	1.4935537083093
"4297"	"1"	"left"	"incongruent"	"right"	0.752412486528741
"5377"	"1"	"left"	"congruent"	"left"	0.414544505598164
"4513"	"1"	"left"	"congruent"	"right"	0.365979270516228
"5245"	"1"	"right"	"congruent"	"right"	0.704346267250274
"1573"	"1"	"right"	"incongruent"	"left"	0.919434377869002
"2293"	"1"	"right"	"incongruent"	"right"	0.761282568651872
"2137"	"1"	"left"	"incongruent"	"left"	1.32235727899315
"4669"	"1"	"right"	"congruent"	"left"	0.225010694320575
"2761"	"1"	"left"	"incongruent"	"left"	0.358509526292014
"805"	"1"	"right"	"incongruent"	"right"	0.336604766276491
"5413"	"1"	"right"	"incongruent"	"left"	0.508155026743669
"3193"	"1"	"left"	"incongruent"	"left"	0.717352910511683
"3265"	"1"	"left"	"congruent"	"left"	0.295546157839016
"877"	"1"	"right"	"congruent"	"left"	0.618335050115527
"2353"	"1"	"left"	"congruent"	"right"	0.591967391109577
"1273"	"1"	"left"	"incongruent"	"right"	0.258059361662798
"2401"	"1"	"left"	"congruent"	"left"	0.567269639227517
"2269"	"1"	"right"	"congruent"	"right"	0.20606775667808
"3037"	"1"	"right"	"congruent"	"left"	1.06375820237676
"1465"	"1"	"left"	"incongruent"	"left"	0.33452691247505
"3121"	"1"	"left"	"congruent"	"left"	0.508988699751592
"3565"	"1"	"right"	"congruent"	"right"	0.521459103153539
"277"	"1"	"right"	"incongruent"	"right"	0.333119696649146
"4093"	"1"	"right"	"congruent"	"right"	0.506624312701209
"5113"	"1"	"left"	"incongruent"	"right"	0.339347962788641
"5065"	"1"	"left"	"incongruent"	"left"	0.573422848562491
"4357"	"1"	"right"	"incongruent"	"left"	0.212420356644549
"1621"	"1"	"right"	"incongruent"	"right"	0.204494054680267
"4429"	"1"	"right"	"congruent"	"right"	0.309077382378323
"4033"	"1"	"left"	"congruent"	"left"	0.315832483582246
"3349"	"1"	"right"	"incongruent"	"right"	0.40646189438015
"193"	"1"	"left"	"congruent"	"left"	0.455324271810968
"37"	"1"	"right"	"incongruent"	"right"	0.415321117812148
"3805"	"1"	"right"	"congruent"	"left"	0.445145118594073
"3673"	"1"	"left"	"incongruent"	"left"	0.51420122721346
"733"	"1"	"right"	"congruent"	"left"	0.234376937537922
"637"	"1"	"right"	"congruent"	"left"	0.21733552237176
"1561"	"1"	"left"	"incongruent"	"left"	0.975219470890336
